UDP Prague receiver listening at 0.0.0.0 on port 5005 with max packet size 1400 bytes.
[RECVER]: 34.38 sec, Rcvd: 0.783 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 34.59 sec, Rcvd: 0.806 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 34.82 sec, Rcvd: 0.401 Mbps, Sent: 0.007 Mbps, RTT: N/A, Mark: 0.00%(0/8), Lost: 0.00%(0/8)
[RECVER]: 35.03 sec, Rcvd: 1.540 Mbps, Sent: 0.029 Mbps, RTT: N/A, Mark: 0.00%(0/25), Lost: 0.00%(0/25)
[RECVER]: 35.24 sec, Rcvd: 0.795 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 35.47 sec, Rcvd: 0.619 Mbps, Sent: 0.012 Mbps, RTT: N/A, Mark: 0.00%(0/12), Lost: 0.00%(0/12)
[RECVER]: 35.68 sec, Rcvd: 0.981 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/17), Lost: 0.00%(0/17)
[RECVER]: 35.91 sec, Rcvd: 0.745 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 36.12 sec, Rcvd: 0.769 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 36.34 sec, Rcvd: 0.851 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 36.58 sec, Rcvd: 0.638 Mbps, Sent: 0.012 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 36.80 sec, Rcvd: 0.619 Mbps, Sent: 0.012 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 7.14%(1/14)
[RECVER]: 37.00 sec, Rcvd: 1.014 Mbps, Sent: 0.019 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: -6.25%(-1/16)
[RECVER]: 37.22 sec, Rcvd: 0.670 Mbps, Sent: 0.012 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 37.43 sec, Rcvd: 0.731 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 37.65 sec, Rcvd: 0.800 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 37.85 sec, Rcvd: 0.808 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 38.05 sec, Rcvd: 0.567 Mbps, Sent: 0.011 Mbps, RTT: N/A, Mark: 0.00%(0/9), Lost: 0.00%(0/9)
[RECVER]: 38.27 sec, Rcvd: 0.820 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/18), Lost: 0.00%(0/18)
[RECVER]: 38.48 sec, Rcvd: 0.792 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 38.69 sec, Rcvd: 0.797 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 38.90 sec, Rcvd: 0.791 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 39.11 sec, Rcvd: 0.787 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 39.31 sec, Rcvd: 0.889 Mbps, Sent: 0.017 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 39.52 sec, Rcvd: 0.793 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 39.74 sec, Rcvd: 0.761 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 39.95 sec, Rcvd: 0.792 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 40.15 sec, Rcvd: 0.770 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 40.35 sec, Rcvd: 0.858 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 40.57 sec, Rcvd: 0.787 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
